,-0,00571428571428571
ć-0,00571428571428571
r-0,00571428571428571
T-0,00571428571428571
ś-0,0114285714285714
p-0,0114285714285714
A-0,0114285714285714
ż-0,0114285714285714
ę-0,0114285714285714
.-0,0171428571428571
m-0,0171428571428571
ł-0,0171428571428571
l-0,0171428571428571
b-0,0228571428571429
j-0,0228571428571429
d-0,0228571428571429
k-0,0285714285714286
n-0,0342857142857143
s-0,0342857142857143
w-0,04
t-0,04
c-0,0457142857142857
o-0,0457142857142857
y-0,0514285714285714
z-0,0628571428571429
e-0,0628571428571429
i-0,0742857142857143
a-0,102857142857143
 -0,16
